what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397548026554
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1397548026554
java.vm.specification.version,sysinfo,,,"1.7",1397548026554
java.vm.vendor,sysinfo,,,"Oracle Corporation",1397548026554
java.vm.version,sysinfo,,,"24.45-b08",1397548026554
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1397548026558
started,bundle,com.android.ide.eclipse.base,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.base",1397548027441
started,bundle,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.adt",1397548027535
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1397548027558
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1397548027566
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1397548027568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397548041338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397548049167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397548050092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397548056770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397548057523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397548061105
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397548066308
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1397548067118
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1397548067124
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1397548067254
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1397548067255
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1397548067255
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1397548067255
